Date,TV,Radio,Newspaper,Sales, sales_Prediction_knn , sales_Prediction_rf , sales_Prediction_lr 
06-04-2017,125.7,36.9,79.2,15.9,16.1,15.73,15.41
13-04-2017,19.4,16,22.3,6.6,8.81,6.74,6.92
20-04-2017,141.3,26.8,46.2,15.5,15.97,15.31,14.42
27-04-2017,18.8,21.7,50.4,7,8.95,7.24,7.8
04-05-2017,224,2.4,15.6,11.6,12.09,11.41,13.79
11-05-2017,123.1,34.6,12.4,15.2,15.54,15,15.25
18-05-2017,229.5,32.3,74.2,19.7,21.12,19.78,19.34
25-05-2017,87.2,11.8,25.9,10.6,10.25,10.41,9.22
01-06-2017,7.8,38.9,50.6,6.6,9.38,6.52,10.54
08-06-2017,80.2,0,9.2,8.8,9.52,9.02,6.77
15-06-2017,220.3,49,3.2,24.7,20.9,24.07,22.48
22-06-2017,59.6,12,43.1,9.7,9.27,9.69,7.89
29-06-2017,0.7,39.6,8.7,1.6,9.95,5.08,10.59
06-07-2017,265.2,2.9,43,12.7,12.93,11.88,15.62
13-07-2017,8.4,27.2,2.1,5.7,8.71,5.37,8.64
20-07-2017,219.8,33.5,45.1,19.6,19.35,19.31,19.29
27-07-2017,36.9,38.6,65.6,10.8,10.23,10.43,11.73
03-08-2017,48.3,47,8.5,11.6,11.37,11.42,14.17
10-08-2017,25.6,39,9.3,9.5,9.95,8.11,11.62
17-08-2017,273.7,28.9,59.7,20.8,21.26,20.76,20.82
24-08-2017,43,25.9,20.5,9.6,9.25,9.78,9.88
31-08-2017,184.9,43.9,1.7,20.7,19.86,20.8,19.9
07-09-2017,73.4,17,12.9,10.9,10.25,11.2,9.64
14-09-2017,193.7,35.4,75.6,19.2,18.56,18.95,18.27
21-09-2017,220.5,33.2,37.9,20.1,19.27,19.2,19.31
28-09-2017,104.6,5.7,34.4,10.4,10.34,10.61,8.82
05-10-2017,96.2,14.8,38.9,11.4,10.63,11.61,10.13
12-10-2017,140.3,1.9,9,10.3,10.88,10.37,9.89
19-10-2017,240.1,7.3,8.7,13.2,12.59,13.02,15.5
26-10-2017,243.2,49,44.3,25.4,23.83,25.05,23.29
02-11-2017,38,40.3,11.9,10.9,10.52,10.26,12.42
09-11-2017,44.7,25.8,20.6,10.1,9.25,10.06,9.94
16-11-2017,280.7,13.9,37,16.1,15.1,15.69,18.44
23-11-2017,121,8.4,48.7,11.6,11.35,11.68,10
30-11-2017,197.6,23.3,14.2,16.6,16.38,16.49,16.53
07-12-2017,171.3,39.7,37.7,19,19.65,19.17,18.28
14-12-2017,187.8,21.1,9.5,15.6,15.73,15.19,15.69
21-12-2017,4.1,11.6,5.7,3.2,7.38,3.96,5.49
28-12-2017,93.9,43.5,50.5,15.3,12.58,13.74,15.36
04-01-2018,149.8,1.3,24.3,10.1,11.04,10.59,10.13
11-01-2018,11.7,36.9,45.2,7.3,9.46,7,10.37
18-01-2018,131.7,18.4,34.6,12.9,13.38,13.07,12.46
25-01-2018,172.5,18.1,30.7,14.4,14.42,14.67,14.3
01-02-2018,85.7,35.8,49.3,13.3,12.44,12.94,13.54
08-02-2018,188.4,18.1,25.6,14.9,15.12,14.96,15.06
15-02-2018,163.5,36.8,7.4,18,17.08,18.01,17.55
22-02-2018,117.2,14.7,5.4,11.9,11.46,12.16,11.27
01-03-2018,234.5,3.4,84.8,11.9,15.39,11.87,14.06
08-03-2018,17.9,37.6,21.6,8,9.97,7.87,10.93
15-03-2018,206.8,5.2,19.4,12.2,12.12,12.16,13.51
22-03-2018,215.4,23.6,57.6,17.1,17.85,16.91,17.15
29-03-2018,284.3,10.6,6.4,15,12.9,14.43,18.16
05-04-2018,50,11.6,18.4,8.4,8.76,8.78,7.52
12-04-2018,164.5,20.9,47.4,14.5,15.95,14.71,14.36
19-04-2018,19.6,20.1,17,7.6,9.04,7.39,7.73
26-04-2018,168.4,7.1,12.8,11.7,11.7,12.24,12.14
03-05-2018,222.4,3.4,13.1,11.5,12.09,11.62,13.92
10-05-2018,276.9,48.9,41.8,27,23.83,26.3,24.84
17-05-2018,248.4,30.2,20.3,20.2,19.24,20.06,20.13
24-05-2018,170.2,7.8,35.2,11.7,11.91,12.77,12.23
31-05-2018,276.7,2.3,23.7,11.8,12.1,11.94,16.15
07-06-2018,165.6,10,17.6,12.6,12.43,12.88,12.53
14-06-2018,156.6,2.6,8.3,10.5,11.06,10.74,10.78
21-06-2018,218.5,5.4,27.4,12.2,11.92,12.22,14.04
28-06-2018,56.2,5.7,29.7,8.7,8.26,8.61,6.63
05-07-2018,287.6,43,71.8,26.2,22.52,25.6,24.04
12-07-2018,253.8,21.3,30,17.6,17.12,17.26,18.64
19-07-2018,205,45.1,19.6,22.6,21.48,22.13,20.95
26-07-2018,139.5,2.1,26.6,10.3,11.04,10.44,9.79
02-08-2018,191.1,28.7,18.2,17.3,16.94,17.52,17.23
09-08-2018,286,13.9,3.7,15.9,15.24,15.32,18.88
16-08-2018,18.7,12.1,23.4,6.7,7.63,6.71,6.15
23-08-2018,39.5,41.1,5.8,10.8,10.46,10.67,12.67
30-08-2018,75.5,10.8,6,9.9,10.15,9.96,8.61
06-09-2018,17.2,4.1,31.6,5.9,7.67,6.27,4.52
13-09-2018,166.8,42,3.6,19.6,18.72,19.79,18.7
20-09-2018,149.7,35.6,6,17.3,16.47,16.85,16.7
27-09-2018,38.2,3.7,13.8,7.6,8.22,7.79,5.52
04-10-2018,94.2,4.9,8.1,9.7,10.03,9.61,8.35
11-10-2018,177,9.3,6.4,12.8,12.17,12.8,12.99
18-10-2018,283.6,42,66.2,25.5,23.14,24.98,23.7
25-10-2018,232.1,8.6,8.7,13.4,12.59,13.28,15.38
